name,code,landline,email,phone,country,state,city,street,postal code,fax,website,image,other detail,DLI#,Logo
Curtin University,CU1001,,,,Australia,,Perth,,,,,,,,Curtin University.png
Monash University,MU1001,,,,Australia,,Melbourne,,,,,,,,Monash University.jpg
Newcastle International College,NCIC1001,,,,Australia,,Callaghan,,,,,,,,Newcastle International College.jpg
Queensland University of Technology,QUOT1001,,,,Australia,,Brisbane,,,,,,,,Queensland University of Technology.png
SAIBT South Australian Institute of Business and Technology,SAIBT1001,,,,Australia,,Adelaide ,,,,,,,,SAIBT South Australian Institute of Business and Technology.jpg
Southern Cross University,SCU1001,,,,Australia,,Lismore,,,,,,,,Southern Cross University.png
Sydney Institute of Business and Technology - SIBT,SIBT1001,,,,Australia,,Sydney,,,,,,,,Sydney Institute of Business and Technology - SIBT.png
Taylors College Perth,TCP1001,,,,Australia,,Claremont,,,,,,,,Taylors College Perth.png
The University of Sydney Foundation Program,TUSFP1001,,,,Australia,,New South Wales,,,,,,,,The University of Sydney Foundation Program.png
University of Adelaide,UOA1001,,,,Australia,,Adelaide,,,,,,,,University of Adelaide.png
University of Adelaide College,UOAC1001,,,,Australia,,Adelaide,,,,,,,,University of Adelaide College.png
"University of New South Wales, Sydney",UNSW1001,,,,Australia,,Kensington,,,,,,,,"University of New South Wales, Sydney.png"
Western Sydney University International College,WSUIC1001,,,,Australia,,Parramatta,,,,,,,,Western Sydney University International College.png
Academies Australasia Polytechnic,AAPOLY1001,,,,Australia,,Melbourne,,,,,,,,Academies Australasia Polytechnic.png
Deakin College,DC1001,,,,Australia,,Burwood ,,,,,,,,Deakin College.png
Edith Cowan College,ECC1001,,,,Australia,,Joondalup,,,,,,,,Edith Cowan College.jpg
Griffith College,GC1001,,,,Australia,,Queensland,,,,,,,,Griffith-College-Logo-New.png
La Trobe College,LATC1001,,,,Australia,,Bundoora,,,,,,,,La Trobe College.jpg
