name,code,landline,email,phone,country,state,city,street,postal code,fax,website,image,other detail,DLI#,logo
Acadia University,ACA001,,,,Canada,,Nova Scotia,,,,http://https//www2.acadiau.ca,,,,AcadiaUniversity.jpg
Acsenda School of Management,ASM002,,,,Canada,,British Columbia,,,,http://www.acsenda.com/,,,,AcsendaSchoolofManagement.jpg
Adler University,ADL003,,,,Canada,,British Columbia,,,,http://https//www.adler.edu/page/campuses/vancouver,,,,AdlerUniversity.png
Alexander College,ALX004,,,,Canada,,British Columbia,,,,http://www.alexandercollege.ca/,,,,AlexanderCollege.jpg
Assiniboine Community College,ASCC005,,,,Canada,,Manitoba,,,,http://www.assiniboine.net/,,,,AssiniboineCommunityCollege.jpg
Bow Valley College,BOVC006,,,,Canada,,Alberta,,,,http://bowvalleycollege.ca/,,,,BowValleyCollege.png
British Columbia Institute of Technology,BCIT007,,,,Canada,,British Columbia,,,,http://https//www.bcit.ca/,,,,BritishColumbiaInstituteofTechnology.jpg
Brock University,BROC008,,,,Canada,,Ontario,,,,http://https//brocku.ca,,,,BrockUniversity.jpg
Cambrian College,CAM009,,,,Canada,,Ontario,,,,http://www.cambriancollege.ca/,,,,CambrianCollege.jpg
Cambrian College at Hanson,CCH010,,,,Canada,,Ontario,,,,http://www.hansoninternationalacademy.com/,,,,CambrianCollegeatHanson.jpg
Canadore College,CANC011,,,,Canada,,Ontario,,,,http://www.canadorecollege.ca/,,,,CanadoreCollege.jpg
Cape Breton University,CAPU012,,,,Canada,,Nova Scotia,,,,http://www.cbu.ca/,,,,CapeBretonUniversity.jpg
Capilano University,CAPI013,,,,Canada,,British Columbia,,,,http://www.capilanou.ca/,,,,CapilanoUniversity.jpg
Centennial College,CENT014,,,,Canada,,Ontario,,,,http://www.centennialcollege.ca/,,,,CentennialCollege.jpg
College National of Science and Technology,CNST015,,,,Canada,,Quebec,,,,https://collegenational.ca/,,,,CollegeNationalofScienceandTechnology.png
College of New Caledonia,CONC016,,,,Canada,,British Columbia,,,,http://www.cnc.bc.ca/,,,,CollegeofNewCaledonia.jpg
College of the Rockies,CTR017,,,,Canada,,British Columbia,,,,http://www.cotr.bc.ca/,,,,CollegeoftheRockies.jpg
St Michel College,STM066,,,,Canada,,Quebec,,,,https://www.collegest-michel.ca/en-ca/international-students.php,,,,CollegeStMichel.png
Conestoga College,CANC018,,,,Canada,,Ontario,,,,http://www.conestogac.on.ca/,,,,ConestogaCollege.jpg
Coquitlam College,COQ019,,,,Canada,,British Columbia,,,,http://https//www.coquitlamcollege.com/,,,,CoquitlamCollege.jpg
Crandall University,CRU020,,,,Canada,,New Brunswick,,,,http://www.crandallu.ca/,,,,CrandallUniversity.jpg
Dalhousie University,DU021,,,,Canada,,Nova Scotia,,,,http://www.dal.ca/,,,,DalhousieUniversity.jpg
Douglas College,DC022,,,,Canada,,British Columbia,,,,http://www.douglascollege.ca/,,,,DouglasCollege.jpg
Durham College,DHU023,,,,Canada,,Ontario,,,,http://www.durhamcollege.ca/,,,,DurhamCollege.jpg
Fairleigh Dickinson University,FDU024,,,,Canada,,British Columbia,,,,http://www.fdu.edu/vancouver,,,,FairleighDickinsonUniversity.jpg
Fanshawe College,FAN025,,,,Canada,,Ontario,,,,http://www.fanshawec.ca/,,,,FanshaweCollege.jpg
Fleming College ,FLE026,,,,Canada,,Ontario,,,,http://flemingcollege.ca/,,,,FlemingCollege.jpg
Focus College ,FOC027,,,,Canada,,British Columbia,,,,https://focuscollege.com/,,,,FocusCollege.png
George Brown College,GOB028,,,,Canada,,Ontario,,,,http://www.georgebrown.ca/,,,,GeorgeBrownCollege.jpg
Georgian College,GOG029,,,,Canada,,Ontario,,,,http://www.georgianc.on.ca/,,,,GeorgianCollegeTorontoOntario.jpg
Georgian College - Toronto,GOT030,,,,Canada,,Ontario,,,,http://georgianatilac.com/,,,,GeorgianCollege.jpg
Kensley College,KEN031,,,,Canada,,Quebec,,,,http://www.kensleycollege.ca/,,,,KensleyCollege.png
King’s College (University of Western Ontario),KCS032,,,,Canada,,Ontario,,,,http://www.kings.uwo.ca/,,,,KingsCollegeUniversityofWesternOntario.jpg
Kwantlen Polytechnic University,KPU033,,,,Canada,,British Columbia,,,,http://www.kpu.ca/,,,,KwantlenPolytechnicUniversity.jpg
Lakehead University,LAH034,,,,Canada,,Ontario,,,,http://www.lakeheadu.ca/,,,,LakeheadUniversity.jpg
"Lakehead University through Georgian College, Barrie, Ontario",LAH035,,,,Canada,,Ontario,,,,http://www.lakeheadgeorgian.ca/,,,,LakeheadUniversitythroughGeorgianCollegeBarrieOntario.jpg
Lakeland College,LAH036,,,,Canada,,Alberta,,,,http://www.lakelandcollege.ca/,,,,LakelandCollege.jpg
Lambton College,LAM037,,,,Canada,,Ontario,,,,http://www.lambtoncollege.ca/,,,,LambtonCollege.jpg
LaSalle College,LAS038,,,,Canada,,Quebec,,,,http://www.lasallecollegevancouver.com/,,,,LaSalleCollege.jpg
Le Cordon Bleu,LCB036,,,,Canada,,Ontario,,,,http://www.lcbottawa.com/,,,,LeCordonBleu.jpg
Loyalist College,LYC037,,,,Canada,,Ontario,,,,http://https//www.loyalistcollege.com/international/welcome-to-loyalist-college-in-toronto/,,,,LoyalistCollegeBellevilleOntario.jpg
"Loyalist College, Belleville, Ontario",LCC038,,,,Canada,,Alberta,,,,http://www.loyalistcollege.com/,,,,LoyalistCollege.jpg
MacEwan University,MAC039,,,,Canada,,Manitoba,,,,http://https//www.macewan.ca/wcm/index.htm,,,,MacEwanUniversity.jpg
Manitoba Institute of Trades and Technology,MIT040,,,,Canada,,Quebec,,,,http://www.mitt.ca/,,,,ManitobaInstituteofTradesandTechnology.png
McGill University,MCG041,,,,Canada,,Alberta,,,,http://www.mcgill.ca/,,,,McGillUniversity.png
Medicine Hat College,MHC042,,,,Canada,,Newfoundland and Labrador,,,,http://www.mhc.ab.ca/,,,,MedicineHatCollege.jpg
Memorial University of Newfoundland,MUN043,,,,Canada,,New Brunswick,,,,http://http//www.mun.ca/,,,,MemorialUniversityofNewfoundland.png
Mount Allison University,MAU044,,,,Canada,,Nova Scotia,,,,http://www.mta.ca/,,,,MountAllisonUniversity.jpg
Mount Saint Vincent University,MSV046,,,,Canada,,British Columbia,,,,http://www.msvu.ca/en/home/default.aspx,,,,MountSaintVincentUniversity.jpg
"New York Institute of Technology, Canada",NYT047,,,,Canada,,Ontario,,,,http://www.nyit.edu/canada,,,,NewYorkInstituteofTechnologyCanada.jpg
Niagara College,NIC048,,,,Canada,,Ontario,,,,http://www.niagaracollege.ca/,,,,NiagaraCollegeTorontoOntario.jpg
"Niagara College, Toronto, Ontario",NCT049,,,,Canada,,Ontario,,,,http://www.niagaracollegetoronto.ca/,,,,NiagaraCollege.jpg
Nipissing University,NPP050,,,,Canada,,Alberta,,,,http://www.nipissingu.ca/,,,,NipissingUniversity.jpg
NorQuest College,NOQ051,,,,Canada,,British Columbia,,,,http://https//www.norquest.ca/home.aspx,,,,NorQuestCollege.jpg
North Island College,NIC052,,,,Canada,,Ontario,,,,http://www.nic.bc.ca/,,,,NorthernCollege.jpg
Northern College ,NCC053,,,,Canada,,Ontario,,,,http://http//www.northernc.on.ca/,,,,NorthernCollegeatPuresToronto.jpg
Northern College at Pures-Toronto,NPC054,,,,Canada,,British Columbia,,,,http://www.northernc.on.ca/pure/,,,,NorthernLightsCollege.png
Northern Lights College,NLC055,,,,Canada,,Ontario,,,,http://www.nlc.bc.ca/,,,,NorthIslandCollege.jpg
Ontario Tech University ,OYU057,,,,Canada,,Alberta,,,,http://ontariotechu.ca/,,,,OntarioTechUniversity.jpg
Red Deer College,RDC058,,,,Canada,,British Columbia,,,,https://www.rdpolytech.ca/,,,,RedDeerCollege.png
Royal Roads University,RRU059,,,,Canada,,Ontario,,,,http://www.royalroads.ca/,,,,RoyalRoadsUniversity.jpg
Ryerson University International College,RUI060,,,,Canada,,Saskatchewan,,,,http://www.ryerson.ca/,,,,RyersonUniversityInternationalCollege.jpg
Saskatchewan Polytechnic,SSP061,,,,Canada,,Ontario,,,,http://www.saskpolytech.ca/,,,,SaskatchewanPolytechnic.jpg
Sault College,SAU062,,,,Canada,,British Columbia,,,,http://www.saultcollege.ca/,,,,SaultCollege.jpg
Selkirk College,SEC063,,,,Canada,,Ontario,,,,http://www.selkirk.ca/,,,,SelkirkCollege.jpg
Seneca College,SEN064,,,,Canada,,Ontario,,,,http://www.senecac.on.ca/,,,,SenecaCollege.png
Seneca International Academy,SEI065,,,,Canada,,Ontario,,,,http://www.senecacollege.ca/international/seneca-international-academy.html,,,,SenecaInternationalAcademy.png
Sheridan College,SHC062,,,,Canada,,British Columbia,,,,http://www.sheridancollege.ca/,,,,SheridanCollege.jpg
Simon Fraser University through Fraser International College,SIM065,,,,Canada,,Alberta,,,,http://www.sfu.ca/,,,,SimonFraserUniversitythroughFraserInternationalCollege.jpg
Southern Alberta Institute of Technology,SOU066,,,,Canada,,Ontario,,,,http://www.sait.ca/,,,,SouthernAlbertaInstituteofTechnology.jpg
St. Lawrence College,SLC069,,,,Canada,,Alberta,,,,http://www.stlawrencecollege.ca/,,,,StLawrenceCollege.jpg
St. Mary's University,SUM068,,,,Canada,,New Brunswick,,,,http://www.stmu.ca/,,,,StMarysUniversity.jpg
St. Thomas University,STU070,,,,Canada,,Alberta,,,,http://www.stu.ca/,,,,StThomasUniversity.png
The King's University,TKU071,,,,Canada,,British Columbia,,,,http://https//www.kingsu.ca/,,,,TheKingsUniversity.jpg
Thompson Rivers University,TRU072,,,,Canada,,Quebec,,,,http://www.tru.ca/,,,,ThompsonRiversUniversity.jpg
"Trebas Institute, Montreal",TRE073,,,,Canada,,Ontario,,,,http://www.trebas.com/,,,,TrebasInstituteMontreal.jpg
Trent University,TUE074,,,,Canada,,British Columbia,,,,http://www.trentu.ca/,,,,TrentUniversity.jpg
Trinity Western University,TWU075,,,,Canada,,British Columbia,,,,http://www.twu.ca/,,,,TrinityWesternUniversity.jpg
University Canada West,UCW076,,,,Canada,,Ontario,,,,http://www.ucanwest.ca/,,,,UniversityCanadaWest.jpg
University of Guelph,UOG077,,,,Canada,,Alberta,,,,http://https//www.uoguelph.ca,,,,UniversityofGuelph.png
University of Lethbridge,UOL078,,,,Canada,,Manitoba,,,,http://uleth.ca/,,,,UniversityofLethbridge.jpg
University of Manitoba,UOM079,,,,Canada,,Manitoba,,,,http://umanitoba.ca/,,,,UniversityofManitoba.jpg
University of Manitoba through International College of Manitoba,UOO078,,,,Canada,,New Brunswick,,,,http://www.umanitoba.ca/,,,,UniversityofManitobathroughInternationalCollegeofManitoba.jpg
University of New Brunswick,UNB079,,,,Canada,,British Columbia,,,,http://www.unb.ca/,,,,UniversityofNewBrunswick.png
University of Northern British Columbia,UBN079,,,,Canada,,Prince Edward Island,,,,http://www.unbc.ca/,,,,UniversityofNorthernBritishColumbia.jpg
University of Prince Edward Island,UPE080,,,,Canada,,Saskatchewan,,,,http://http//www.upei.ca/,,,,UniversityofPrinceEdwardIsland.jpg
University of Regina,UOR081,,,,Canada,,Saskatchewan,,,,http://www.uregina.ca/,,,,UniversityofRegina.jpg
University of Saskatchewan,UOS082,,,,Canada,,British Columbia,,,,http://www.usask.ca/,,,,UniversityofSaskatchewan.jpg
University of the Fraser Valley,UFV083,,,,Canada,,British Columbia,,,,http://www.ufv.ca/,,,,UniversityoftheFraserValley.jpg
University of Victoria,UOV084,,,,Canada,,Ontario,,,,http://https//www.uvic.ca/,,,,UniversityofVictoria.jpg
University of Waterloo,UOW085,,,,Canada,,Ontario,,,,http://uwaterloo.ca/,,,,UniversityofWaterloo.jpg
University of Windsor ,UWO086,,,,Canada,,Ontario,,,,http://http//www.uwindsor.ca,,,,UniversityofWindsor.jpg
University of Winnipeg,UIP087,,,,Canada,,Manitoba,,,,http://www.uwinnipeg.ca/,,,,UniversityofWinnipeg.jpg
Vancouver Community College,VCC087,,,,Canada,,British Columbia,,,,http://www.vcc.ca/,,,,VancouverCommunityCollege.png
Vancouver Film School,VFS088,,,,Canada,,British Columbia,,,,http://www.vfs.edu/,,,,VancouverFilmSchool.jpg
Vancouver Island University,VIU089,,,,Canada,,British Columbia,,,,http://www.viu.ca/,,,,VancouverIslandUniversity.jpg
Western University,WEU090,,,,Canada,,Ontario,,,,http://www.uwo.ca/,,,,WesternUniversity.png
Wilfrid Laurier International College,WLI091,,,,Canada,,Ontario,,,,http://www.laurieric.ca/,,,,WilfridLaurierInternationalCollege.jpg
Wilfrid Laurier University,WLU092,,,,Canada,,Ontario,,,,http://www.wlu.ca/,,,,WilfridLaurierUniversity.jpg
York University,YOU093,,,,Canada,,Ontario,,,,http://www.yorku.ca/,,,,YorkUniversity.jpg
Yukon University,YUK095,,,,Canada,,Yukon,,,,https://www.yukonu.ca/,,,,YukonUniversity.jpg
